9850	#doc=commentonvideo.2.txt	FORM	LEMMA	GRAM	COMMENT	CHECKED	RIGHT1	RIGHT2	RIGHT3	RIGHT4	RIGHT5	RIGHT6	POS	AUTO_LEMMA	AUTO_GRAMM
9880	16	главного	ѓ‹Ђ‚Ќ›‰	A gen sg plen m -		YES	о	г	о	н	в	а	A	ѓ‹Ђ‚Ќ›‰	A - gen sg plen m -
9881	17	предмета	Џђ…„Њ…’	S m inan gen sg		YES	а	т	е	м	д	е	S	Џђ…„Њ…’	S m inan gen sg
9882	18	-	-	PUNC		YES							PUNC	-	PUNC
9883	19	русского	ђ“‘‘Љ€‰	A gen sg plen m -		YES	о	г	о	к	с	с	A	ђ“‘‘Љ€‰	A - gen sg plen m -
9884	20	Языка	џ‡›Љ	S m inan gen sg		YES	а	к	ы	з	Я		S	џ‡›Љ	S m inan gen sg
9885	21	и	€	CONJ		YES	и						CONJ	€	CONJ
9886	22	литературы	‹€’…ђЂ’“ђЂ	S f inan gen sg		YES	ы	р	у	т	а	р	S	‹€’…ђЂ’“ђЂ	S f inan gen sg
9887	23	.	.	SENT		YES							SENT	.	SENT
9888						YES									
9889	1	Ђ	Ђ	CONJ		YES	а						CONJ	Ђ	CONJ
9890	2	сейчас	‘…‰—Ђ‘	ADV -		YES	с	а	ч	й	е	с	ADV	‘…‰—Ђ‘	ADV -
9891	3	Я	џ	S-PRO sg 1p nom		YES	Я						S-PRO	џ	SPRO sg 1p - nom
9892	4	приехала	Џђ€…•Ђ’њ	V pf praet sg indic f 1p		YES	а	л	а	х	е	и	V	Џђ€…•Ђ’њ	V pf praet sg indic f -
9893	5	к	Љ	PR		YES	к						PR	Љ	PR
9894	6	внучке	‚Ќ“—ЉЂ	S f anim dat sg		YES	е	к	ч	у	н	в	S	‚Ќ“—ЉЂ	S f anim loc sg
9895	7	,	,	PUNC		YES							PUNC	,	PUNC
9896	8	выполнить	‚›ЏЋ‹Ќ€’њ	V pf - - inf - -		YES	ь	т	и	н	л	о	V	‚›ЏЋ‹Ќ€’њ	V pf - - inf - -
9897	9	еЮ	ЋЌЂ	S-PRO sg 3p f acc		YES	Ю	е					S-PRO	ЋЌЂ	SPRO sg 3p f acc
9898	10	какое-то	ЉЂЉЋ‰-’Ћ	A inan acc sg plen n -		YES	о	т		е	о	к	A	ЉЂЉЋ‰-’Ћ	A - nom sg plen n -
9899	11	задание	‡Ђ„ЂЌ€…	S n inan acc sg		YES	е	и	н	а	д	а	S	‡Ђ„ЂЌ€…	S n inan acc sg
9900	12	по	ЏЋ	PR		YES	о	п					PR	ЏЋ	PR
9901	13	лингвистике	‹€Ќѓ‚€‘’€ЉЂ	S f inan dat sg		YES	е	к	и	т	с	и	S	‹€Ќѓ‚€‘’€ЉЂ	S f inan loc sg
9902	14	.	.	SENT		YES							SENT	.	SENT
9903						YES									
9904	1	€так	€’ЂЉ	PARENTH		YES	к	а	т	и			PARENTH	€’ЂЉ	CONJ
9905	2	,	,	PUNC		YES							PUNC	,	PUNC
9906	3	мы	Њ›	S-PRO pl 1p nom		YES	ы	м					S-PRO	Њ›	SPRO pl 1p - nom
9907	4	начинаем	ЌЂ—€ЌЂ’њ	V ipf praes pl indic 1p		YES	м	е	а	н	и	ч	V	ЌЂ—€ЌЂ’њ	V ipf praes pl indic - 1p
9908	5	.	.	SENT		YES							SENT	.	SENT
9909						YES									
9910	1	Ќу	Ќ“	PART		YES	у	н					PART	Ќ“	PART
9911	2	,	,	PUNC		YES							PUNC	,	PUNC
9912	3	и	€	CONJ		YES	и						CONJ	€	CONJ
9913	4	что	—’Ћ	S-PRO inan n sg nom		YES	о	т	ч				S-PRO	—’Ћ	S n inan acc sg
9914	5	?	?	SENT		YES							SENT	?	SENT
9915						YES									
9916	1	Џлохо	Џ‹Ћ•Ћ	ADV -		YES	о	х	о	л	п		ADV	Џ‹Ћ•Ћ	ADV -
9917	2	?	?	SENT		YES							SENT	?	SENT
9918						YES									
9919	1	ѓолос	ѓЋ‹Ћ‘	S m inan nom sg		YES	с	о	л	о	г		S	ѓЋ‹Ћ‘	S m inan nom sg
9920	2	за	‡Ђ	PR		YES	а	з					PR	‡Ђ	PR
9921	3	кадром	ЉЂ„ђ	S m inan ins sg		YES	м	о	р	д	а	к	S	ЉЂ„ђ	S m inan ins sg
9922	4	@	@	PUNC		YES							PUNC	@	PUNC
9923	5	Ќет	Ќ…’	PART		YES	т	е	н				PART	Ќ…’	PART
9924	6	,	,	PUNC		YES							PUNC	,	PUNC
9925	7	хорошо	•ЋђЋЋ	ADV -		YES	о	ш	о	р	о	х	ADV	•ЋђЋЋ	ADV -
9926	8	.	.	SENT		YES							SENT	.	SENT
9927						YES									
9928	1	„авай	„Ђ‚Ђ’њ	V ipf - sg imper 2p		YES	й	а	в	а	д		V	„Ђ‚Ђ’њ	V ipf - sg imper - 2p
9929	2	.	.	SENT		YES							SENT	.	SENT
9930						YES									
9931	1	Ќ	Ќ	INIT abbr		YES	н						INIT	Ќ	S - - nonflex nonflex
9932	2	.	.	SENT		YES							SENT	.	SENT
9933						YES									
9934	1	Њ.	Њ.	INIT abbr		YES		м					INIT	Њ.	S - - nonflex nonflex
9935	2	@	@	PUNC		YES							PUNC	@	PUNC
9936	3	<	<	PUNC		YES							PUNC	<	PUNC
9937	4	distinct	DISTINCT	NONLEX		YES							NONLEX	DISTINCT	NONLEX
9938	5	form	FORM	NONLEX		YES							NONLEX	FORM	NONLEX
9939	6	=	=	PUNC		YES							PUNC	=	PUNC
9940	7	"	"	_			YES								_	8
9941	8	—Ю	—…	S-PRO n sg acc	distort	YES	Ю	ч					S-PRO	—…	S n - nonflex nonflex
9942	9	"	"	_			YES								_	8
9943	10	>	>	PUNC		YES							PUNC	>	PUNC
9944	11	—то	—’Ћ	S-PRO inan n sg acc		YES	о	т	ч				S-PRO	—’Ћ	S n - acc sg
9945	12	<	<	PUNC		YES							PUNC	<	PUNC
9946	13	/	/	PUNC		YES							PUNC	/	PUNC
9947	14	distinct	DISTINCT	NONLEX		YES							NONLEX	DISTINCT	NONLEX
9948	15	>	>	PUNC		YES							PUNC	>	PUNC
9949	16	давай	„Ђ‚Ђ’њ	V ipf - sg imper 2p		YES	й	а	в	а	д		V	„Ђ‚Ђ’њ	V ipf - sg imper - 2p
9950	17	?	?	SENT		YES							SENT	?	SENT
9951						YES									
9952	1	Ќу	Ќ“	INTJ		YES	у	н					INTJ	Ќ“	PART
9953	2	,	,	PUNC		YES							PUNC	,	PUNC
9954	3	ты	’›	S-PRO sg 2p nom		YES	ы	т					S-PRO	’›	SPRO sg 2p - nom
9955	4	это	ќ’Ћ	S-PRO inan n sg	distort	YES	о	т	э					ќ’Ћ	S n inan acc sg
9956	5	уже	“†…	ADV -		YES	е	ж	у				ADV	“†…	ADV -
9957	6	не	Ќ…	PART		YES	е	н					PART	Ќ…	PART
9958	7	это	ќ’Ћ	S-PRO inan n sg		YES	о	т	э				S	ќ’Ћ	S n - nom sg
9959	8	самое	‘ЂЊ›‰	A - nom sg plen n -		YES	е	о	м	а	с		A	‘ЂЊ›‰	A - nom sg plen n -
9960	9	?	?	SENT		YES							SENT	?	SENT
9961						YES									
9962	1	ѓолос	ѓЋ‹Ћ‘	S m inan nom sg		YES	с	о	л	о	г		S	ѓЋ‹Ћ‘	S m inan nom sg
9963	2	за	‡Ђ	PR		YES	а	з					PR	‡Ђ	PR
9964	3	кадром	ЉЂ„ђ	S m inan ins sg		YES	м	о	р	д	а	к	S	ЉЂ„ђ	S m inan ins sg
9965	4	@	@	PUNC		YES							PUNC	@	PUNC
9966	5	Ќу	Ќ“	INTJ		YES	у	н					INTJ	Ќ“	PART
9967	6	,	,	PUNC		YES							PUNC	,	PUNC
9968	7	конечно	ЉЋЌ…—ЌЋ	PARENTH		YES	о	н	ч	е	н	о	PARENTH	ЉЋЌ…—ЌЋ	ADV -
9969	8	.	.	SENT		YES							SENT	.	SENT
9970						YES									
9971	1	Ќ	Ќ	INIT abbr		YES	н						INIT	Ќ	S - - nonflex nonflex
9972	2	.	.	SENT		YES							SENT	.	SENT
9973						YES									
9974	1	Њ.	Њ.	INIT abbr		YES		м					INIT	Њ.	S - - nonflex nonflex
9975	2	@	@	PUNC		YES							PUNC	@	PUNC
9976	3	’ы	’›	S-PRO sg 2p - nom		YES	ы	т					S-PRO	’›	SPRO sg 2p - nom
9977	4	это	ќ’Ћ	S-PRO inan n sg		YES	о	т	э				INTJ	ќ’Ћ	S n - acc sg
9978	5	<	<	PUNC		YES							PUNC	<	PUNC
9979	6	distinct	DISTINCT	NONLEX		YES							NONLEX	DISTINCT	NONLEX
9980	7	form	FORM	NONLEX		YES							NONLEX	FORM	NONLEX
9981	8	=	=	PUNC		YES							PUNC	=	PUNC
9982	9	"	"	_			YES								_	10
9983	10	чЮ	—…	S-PRO inan n sg	distort	YES	Ю	ч					S-PRO	—…	S n inan nonflex nonflex
9984	11	"	"	_			YES								_	12
9985	12	>	>	PUNC		YES							PUNC	>	PUNC
9986	13	что	—’Ћ	S-PRO inan n sg		YES	о	т	ч				S-PRO	—’Ћ	ADV -
9987	14	<	<	PUNC		YES							PUNC	<	PUNC
9988	15	/	/	PUNC		YES							PUNC	/	PUNC
9989	16	distinct	DISTINCT	NONLEX		YES							NONLEX	DISTINCT	NONLEX
9990	17	>	>	PUNC		YES							PUNC	>	PUNC
9991	18	,	,	PUNC		YES							PUNC	,	PUNC
9992	19	не	Ќ…	PART		YES	е	н					PART	Ќ…	PART
9993	20	записываешь	‡ЂЏ€‘›‚Ђ’њ	V ipf praes sg indic - 2p		YES	ь	ш	е	а	в	ы	V	‡ЂЏ€‘›‚Ђ’њ	V ipf praes sg indic - 2p
9994	21	уже	“†…	ADV -		YES	е	ж	у				ADV	“†…	ADV -
9995	22	?	?	SENT		YES							SENT	?	SENT
9996						YES									
9997	1	ѓолос	ѓЋ‹Ћ‘	S m inan nom sg		YES	с	о	л	о	г		S	ѓЋ‹Ћ‘	S m inan nom sg
9998	2	за	‡Ђ	PR		YES	а	з					PR	‡Ђ	PR
9999	3	кадром	ЉЂ„ђ	S m inan ins sg		YES	м	о	р	д	а	к	S	ЉЂ„ђ	S m inan ins sg
10000	4	@	@	PUNC		YES							PUNC	@	PUNC
10001	5	Ќет	Ќ…’	PART		YES	т	е	н				PART	Ќ…’	PART
10002	6	,	,	PUNC		YES							PUNC	,	PUNC
10003	7	записываю	‡ЂЏ€‘›‚Ђ’њ	V ipf praes sg indic - 1p		YES	ю	а	в	ы	с	и	V	‡ЂЏ€‘›‚Ђ’њ	V ipf praes sg indic - 1p
10004	8	.	.	SENT		YES							SENT	.	SENT
10005						YES									
10006	1	Ќ	Ќ	INIT abbr		YES	н						INIT	Ќ	S - - nonflex nonflex
10007	2	.	.	SENT		YES							SENT	.	SENT
10008						YES									
10009	1	Њ.	Њ.	INIT abbr		YES		м					INIT	Њ.	S - - nonflex nonflex
10010	2	@	@	PUNC		YES							PUNC	@	PUNC
10011	3	Ќу	Ќ“	INTJ		YES	у	н					INTJ	Ќ“	PART
10012	4	,	,	PUNC		YES							PUNC	,	PUNC
10013	5	подожди	ЏЋ„Ћ†„Ђ’њ	V pf - sg imper - 2p		YES	и	д	ж	о	д	о	V	ЏЋ„Ћ†„Ђ’њ	V pf - sg imper - 2p
10014	6	.	.	SENT		YES							SENT	.	SENT
10015						YES									
10016	1	Џосмотри	ЏЋ‘ЊЋ’ђ…’њ	V pf - sg imper - 2p		YES	и	р	т	о	м	с	V	ЏЋ‘ЊЋ’ђ…’њ	V pf - sg imper - 2p
10017	2	,	,	PUNC		YES							PUNC	,	PUNC
10018	3	нормально	ЌЋђЊЂ‹њЌЋ	ADV -		YES	о	н	ь	л	а	м	ADV	ЌЋђЊЂ‹њЌЋ	ADV -
10019	4	получилось	ЏЋ‹“—€’њ‘џ	V pf praet sg indic n -		YES	ь	с	о	л	и	ч	V	ЏЋ‹“—€’њ‘џ	V pf praet sg indic n -
10020	5	?	?	SENT		YES							SENT	?	SENT
10021						YES									
10022	1	ѓолос	ѓЋ‹Ћ‘	S m inan nom sg		YES	с	о	л	о	г		S	ѓЋ‹Ћ‘	S m inan nom sg
10023	2	за	‡Ђ	PR		YES	а	з					PR	‡Ђ	PR
10024	3	кадром	ЉЂ„ђ	S m inan ins sg		YES	м	о	р	д	а	к	S	ЉЂ„ђ	S m inan ins sg
10025	4	@	@	PUNC		YES							PUNC	@	PUNC
10026	5	„а	„Ђ	PART		YES	а	д					PART	„Ђ	PART
10027	6	.	.	SENT		YES							SENT	.	SENT
10028						YES									
10029	1	Ќ	Ќ	INIT abbr		YES	н						INIT	Ќ	S - - nonflex nonflex
10030	2	.	.	SENT		YES							SENT	.	SENT
10031						YES									
10032	1	Њ.	Њ.	INIT abbr		YES		м					INIT	Њ.	S - - nonflex nonflex
10033	2	@	@	PUNC		YES							PUNC	@	PUNC
10034	3	Ќу-ка	Ќ“-ЉЂ	INTJ		YES	а	к		у	н		INTJ	Ќ“-ЉЂ	INTJ
10035	4	,	,	PUNC		YES							PUNC	,	PUNC
10036	5	<	<	PUNC		YES							PUNC	<	PUNC
10037	6	distinct	DISTINCT	NONLEX		YES							NONLEX	DISTINCT	NONLEX
10038	7	form	FORM	NONLEX		YES							NONLEX	FORM	NONLEX
10039	8	=	=	PUNC		YES							PUNC	=	PUNC
10040	9	"	"	_			YES								_	10
10041	10	ничЮ	Ќ€—Э	S-PRO inan n sg	distort	YES	Ю	ч	и	н			S-PRO	Ќ€—	S m inan loc sg
10042	11	"	"	_			YES								_	10
10043	12	>	>	PUNC		YES							PUNC	>	PUNC
10044	13	ничего	Ќ€—…ѓЋ	S-PRO inan n sg		YES	о	г	е	ч	и	н	S-PRO	Ќ€—…ѓЋ	ADV -
10045	14	<	<	PUNC		YES							PUNC	<	PUNC
10046	15	/	/	PUNC		YES							PUNC	/	PUNC
10047	16	distinct	DISTINCT	NONLEX		YES							NONLEX	DISTINCT	NONLEX
10048	17	>	>	PUNC		YES							PUNC	>	PUNC
10049	18	Я	џ	S-PRO sg 1p - nom		YES	Я						S-PRO	џ	SPRO sg 1p - nom
10050	19	там	’ЂЊ	ADV -		YES	м	а	т				ADV	’ЂЊ	ADV -
10051	20	,	,	PUNC		YES							PUNC	,	PUNC
10052	21	весЮленькаЯ	‚…‘…‹…ЌњЉ€‰	A - nom sg plen f -		YES	Я	а	к	ь	н	е	A	‚…‘…‹…ЌњЉ€‰	A - nom sg plen f -
10053	22	?	?	SENT		YES							SENT	?	SENT
10054						YES									
10055	1	ѓолос	ѓЋ‹Ћ‘	S m inan nom sg		YES	с	о	л	о	г		S	ѓЋ‹Ћ‘	S m inan nom sg
10056	2	за	‡Ђ	PR		YES	а	з					PR	‡Ђ	PR
10057	3	кадром	ЉЂ„ђ	S m inan ins sg		YES	м	о	р	д	а	к	S	ЉЂ„ђ	S m inan ins sg
10058	4	@	@	PUNC		YES							PUNC	@	PUNC
10059	5	„а	„Ђ	PART		YES	а	д					PART	„Ђ	CONJ
10060	6	,	,	PUNC		YES							PUNC	,	PUNC
10061	7	хорошенькаЯ	•ЋђЋ…ЌњЉ€‰	A - nom sg plen f -		YES	Я	а	к	ь	н	е	A	•ЋђЋ…ЌњЉ€‰	A - nom sg plen f -
10062	8	.	.	SENT		YES							SENT	.	SENT
10063						YES									
10064	1	Ќ	Ќ	INIT abbr		YES	н						INIT	Ќ	S - - nonflex nonflex
10065	2	.	.	SENT		YES							SENT	.	SENT
10066						YES									
10067	1	Њ.	Њ.	INIT abbr		YES		м					INIT	Њ.	S - - nonflex nonflex
10068	2	@	@	PUNC		YES							PUNC	@	PUNC
10069	3	•орошенькаЯ	•ЋђЋ…ЌњЉ€‰	A - nom sg plen f -		YES	Я	а	к	ь	н	е	A	•ЋђЋ…ЌњЉ€‰	A - nom sg plen f -
10070	4	?	?	SENT		YES							SENT	?	SENT
10071						YES									
10072	1	ѓолос	ѓЋ‹Ћ‘	S m inan nom sg		YES	с	о	л	о	г		S	ѓЋ‹Ћ‘	S m inan nom sg
10073	2	за	‡Ђ	PR		YES	а	з					PR	‡Ђ	PR
10074	3	кадром	ЉЂ„ђ	S m inan ins sg		YES	м	о	р	д	а	к	S	ЉЂ„ђ	S m inan ins sg
10075	4	@	@	PUNC		YES							PUNC	@	PUNC
10076	5	„а	„Ђ	PART		YES	а	д					PART	„Ђ	PART
10077	6	.	.	SENT		YES							SENT	.	SENT
10078						YES									
10079	1	Ќ	Ќ	INIT abbr		YES	н						INIT	Ќ	S - - nonflex nonflex
10080	2	.	.	SENT		YES							SENT	.	SENT
10081						YES									
10082	1	Њ.	Њ.	INIT abbr		YES		м					INIT	Њ.	S - - nonflex nonflex
10083	2	@	@	PUNC		YES							PUNC	@	PUNC
10084	3	Ќу	Ќ“	INTJ		YES	у	н					INTJ	Ќ“	PART
10085	4	,	,	PUNC		YES							PUNC	,	PUNC
10086	5	всЮ	‚‘…	S-PRO inan n sg nom		YES	Ю	с	в				S-PRO	‚‘…	S n - nom sg
10087	6	равно	ђЂ‚Ќ›‰	A - n sg brev n -		YES	о	н	в	а	р		A	ђЂ‚Ќ›‰	A - - sg brev n -
10088	7	.	.	SENT		YES							SENT	.	SENT
10089						YES									
10090	1	ЏричепуреннаЯ	Џђ€—…Џ“ђ…ЌЌ›‰	A - nom sg plen f -		YES	Я	а	н	н	е	р	A	Џђ€—…Џ“ђ…ЌЌ›‰	A - nom sg plen f -
10091	2	?	?	SENT		YES							SENT	?	SENT
10092						YES									
10093	1	ѓолос	ѓЋ‹Ћ‘	S m inan nom sg		YES	с	о	л	о	г		S	ѓЋ‹Ћ‘	S m inan nom sg
10094	2	за	‡Ђ	PR		YES	а	з					PR	‡Ђ	PR
10095	3	кадром	ЉЂ„ђ	S m inan ins sg		YES	м	о	р	д	а	к	S	ЉЂ„ђ	S m inan ins sg
10096	4	@	@	PUNC		YES							PUNC	@	PUNC
10097	5	„а	„Ђ	PART		YES	а	д					PART	„Ђ	PART
10098	6	.	.	SENT		YES							SENT	.	SENT
10099						YES									
10100	1	Ќ	Ќ	INIT abbr		YES	н						INIT	Ќ	S - - nonflex nonflex
10101	2	.	.	SENT		YES							SENT	.	SENT
10102						YES									
10103	1	Њ.	Њ.	INIT abbr		YES		м					INIT	Њ.	S - - nonflex nonflex
10104	2	@	@	PUNC		YES							PUNC	@	PUNC
10105	3	Ќу	Ќ“	INTJ		YES	у	н					INTJ	Ќ“	PART
10106	4	,	,	PUNC		YES							PUNC	,	PUNC
10107	5	хорошо	•ЋђЋЋ	ADV -		YES	о	ш	о	р	о	х	ADV	•ЋђЋЋ	ADV -
10108	6	.	.	SENT		YES							SENT	.	SENT
10109						YES									
10110	1	’ак	’ЂЉ	ADV -		YES	к	а	т				ADV	’ЂЉ	ADV -
10111	2	,	,	PUNC		YES							PUNC	,	PUNC
10112	3	ну	Ќ“	INTJ		YES	у	н					INTJ	Ќ“	PART
10113	4	.	.	SENT		YES							SENT	.	SENT
10114						YES									
10115	1	ѓолос	ѓЋ‹Ћ‘	S m inan nom sg		YES	с	о	л	о	г		S	ѓЋ‹Ћ‘	S m inan nom sg
10116	2	за	‡Ђ	PR		YES	а	з					PR	‡Ђ	PR
10117	3	кадром	ЉЂ„ђ	S m inan ins sg		YES	м	о	р	д	а	к	S	ЉЂ„ђ	S m inan ins sg
10118	4	@	@	PUNC		YES							PUNC	@	PUNC
10119	5	„авай	„Ђ‚Ђ’њ	V ipf - sg imper - 2p		YES	й	а	в	а	д		V	„Ђ‚Ђ’њ	V ipf - sg imper - 2p
10120	6	,	,	PUNC		YES							PUNC	,	PUNC
10121	7	нажимай	ЌЂ†€ЊЂ’њ	V ipf - sg imper - 2p		YES	й	а	м	и	ж	а	V	ЌЂ†€ЊЂ’њ	V ipf - sg imper - 2p
10122	8	на	ЌЂ	PR		YES	а	н					PR	ЌЂ	PR
10123	9	мышку	Њ›ЉЂ	S f inan acc sg		YES	у	к	ш	ы	м		S	Њ›ЉЂ	S f inan acc sg
10124	10	и	€	CONJ		YES	и						CONJ	€	CONJ
10125	11	комментируй	ЉЋЊЊ…Ќ’€ђЋ‚Ђ’њ	V ipf - sg imper - 2p		YES	й	у	р	и	т	н	V	ЉЋЊЊ…Ќ’€ђЋ‚Ђ’њ	V ipf - sg imper - 2p
10126	12	видео	‚€„…Ћ	S n inan nonflex nonflex		YES	о	е	д	и	в		S	‚€„…Ћ	S n inan nonflex nonflex
10127	13	,	,	PUNC		YES							PUNC	,	PUNC
10128	14	пожалуйста	ЏЋ†Ђ‹“‰‘’Ђ	PART		YES	а	т	с	й	у	л	PART	ЏЋ†Ђ‹“‰‘’Ђ	PART
10129	15	.	.	SENT		YES							SENT	.	SENT
10130						YES									
10131	1	Ќ	Ќ	INIT abbr		YES	н						INIT	Ќ	S - - nonflex nonflex
10132	2	.	.	SENT		YES							SENT	.	SENT
10133						YES									
10134	1	Њ.	Њ.	INIT abbr		YES		м					INIT	Њ.	S - - nonflex nonflex
10135	2	@	@	PUNC		YES							PUNC	@	PUNC
10136	3	<	<	PUNC		YES							PUNC	<	PUNC
10137	4	noindex	NOINDEX	NONLEX		YES							NONLEX	NOINDEX	NONLEX
10138	5	>	>	PUNC		YES							PUNC	>	PUNC
10139	6	[	[	PUNC		YES							PUNC	[	PUNC
10140	7	нрзб	Ќђ‡Ѓ	NONLEX	distort	YES	б	з	р	н			NONLEX	Ќђ‡Ѓ	NONLEX
10141	8	]	]	PUNC		YES							PUNC	]	PUNC
10142	9	<	<	PUNC		YES							PUNC	<	PUNC
10143	10	/	/	PUNC		YES							PUNC	/	PUNC
10144	11	noindex	NOINDEX	NONLEX		YES							NONLEX	NOINDEX	NONLEX
10145	12	>	>	PUNC		YES							PUNC	>	PUNC
10146	13	’ы	’›	S-PRO sg 2p - nom		YES	ы	т					S-PRO	’›	SPRO sg 2p - nom
10147	14	потом	ЏЋ’ЋЊ	ADV -		YES	м	о	т	о	п		ADV	ЏЋ’ЋЊ	ADV -
10148	15	можешь	ЊЋ—њ	V ipf praes sg indic - 2p		YES	ь	ш	е	ж	о	м	V	ЊЋ—њ	V ipf praes sg indic - 2p
10149	16	это	ќ’Ћ	S-PRO inan n sg acc		YES	о	т	э				S-PRO	ќ’Ћ	S n - acc sg
10150	17	стереть	‘’…ђ…’њ	V pf - - inf - -		YES	ь	т	е	р	е	т	V	‘’…ђ…’њ	V pf - - inf - -
10151	18	,	,	PUNC		YES							PUNC	,	PUNC
10152	19	хорошо	•ЋђЋЋ	ADV -		YES	о	ш	о	р	о	х	ADV	•ЋђЋЋ	ADV -
10153	20	?	?	SENT		YES							SENT	?	SENT
10154						YES									
10155	1	ѓолос	ѓЋ‹Ћ‘	S m inan nom sg		YES	с	о	л	о	г		S	ѓЋ‹Ћ‘	S m inan nom sg
10156	2	за	‡Ђ	PR		YES	а	з					PR	‡Ђ	PR
10157	3	кадром	ЉЂ„ђ	S m inan ins sg		YES	м	о	р	д	а	к	S	ЉЂ„ђ	S m inan ins sg
10158	4	@	@	PUNC		YES							PUNC	@	PUNC
10159	5	Љонечно	ЉЋЌ…—ЌЋ	PARENTH		YES	о	н	ч	е	н	о	PARENTH	ЉЋЌ…—ЌЋ	ADV -
10160	6	,	,	PUNC		YES							PUNC	,	PUNC
10161	7	да	„Ђ	PART		YES	а	д					PART	„Ђ	PART
10162	8	.	.	SENT		YES							SENT	.	SENT
10163						YES									
10164	1	Ќ	Ќ	INIT abbr		YES	н						INIT	Ќ	S - - nonflex nonflex
10165	2	.	.	SENT		YES							SENT	.	SENT
10166						YES									
10167	1	Њ.	Њ.	INIT abbr		YES		м					INIT	Њ.	S - - nonflex nonflex
10168	2	@	@	PUNC		YES							PUNC	@	PUNC
10169	3	‚сЮ	‚‘…	PART		YES	Ю	с	в				PART	‚‘…	ADV -
10170	4	,	,	PUNC		YES							PUNC	,	PUNC
10171	5	давай	„Ђ‚Ђ’њ	V ipf - sg imper - 2p		YES	й	а	в	а	д		V	„Ђ‚Ђ’њ	V ipf - sg imper - 2p
10172	6	.	.	SENT		YES							SENT	.	SENT
10173						YES									
10174	1	Ќичего	Ќ€—…ѓЋ	ADV -		YES	о	г	е	ч	и	н	ADV	Ќ€—…ѓЋ	ADV -
10175	2	себе	‘…Ѓ…	PART 		YES	е	б	е	с			PART	‘…Ѓ…	PART
10176	3	.	.	SENT		YES							SENT	.	SENT
10177						YES									
10178	1	ќто	ќ’Ћ	S-PRO n inan nom sg		YES	о	т	э				S-PRO	ќ’Ћ	S n - nom sg
