9850;#doc=commentonvideo.2.txt;FORM;LEMMA;GRAM;COMMENT;CHECKED;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;POS;AUTO_LEMMA;AUTO_GRAMM
9899;11;задание;«јƒјЌ»≈;S n inan acc sg;;YES;е;и;н;а;д;а;S;«јƒјЌ»≈;S n inan acc sg
9900;12;по;ѕќ;PR;;YES;о;п;;;;;PR;ѕќ;PR
9901;13;лингвистике;Ћ»Ќ√¬»—“» ј;S f inan dat sg;;YES;е;к;и;т;с;и;S;Ћ»Ќ√¬»—“» ј;S f inan loc sg
9902;14;.;.;SENT;;YES;;;;;;;SENT;.;SENT
9903;;;;;;YES;;;;;;;;;
9904;1;»так;»“ј ;PARENTH;;YES;к;а;т;и;;;PARENTH;»“ј ;CONJ
9905;2;,;,;PUNC;;YES;;;;;;;PUNC;,;PUNC
9906;3;мы;ћџ;S-PRO pl 1p nom;;YES;ы;м;;;;;S-PRO;ћџ;SPRO pl 1p - nom
9907;4;начинаем;Ќј„»Ќј“№;V ipf praes pl indic 1p;;YES;м;е;а;н;и;ч;V;Ќј„»Ќј“№;V ipf praes pl indic - 1p
9908;5;.;.;SENT;;YES;;;;;;;SENT;.;SENT
9909;;;;;;YES;;;;;;;;;
9910;1;Ќу;Ќ”;PART;;YES;у;н;;;;;PART;Ќ”;PART
9911;2;,;,;PUNC;;YES;;;;;;;PUNC;,;PUNC
9912;3;и;»;CONJ;;YES;и;;;;;;CONJ;»;CONJ
9913;4;что;„“ќ;S-PRO inan n sg nom;;YES;о;т;ч;;;;S-PRO;„“ќ;S n inan acc sg
9914;5;?;?;SENT;;YES;;;;;;;SENT;?;SENT
9915;;;;;;YES;;;;;;;;;
9916;1;ѕлохо;ѕЋќ’ќ;ADV -;;YES;о;х;о;л;п;;ADV;ѕЋќ’ќ;ADV -
9917;2;?;?;SENT;;YES;;;;;;;SENT;?;SENT
9918;;;;;;YES;;;;;;;;;
9919;1;√олос;√ќЋќ—;S m inan nom sg;;YES;с;о;л;о;г;;S;√ќЋќ—;S m inan nom sg
9920;2;за;«ј;PR;;YES;а;з;;;;;PR;«ј;PR
9921;3;кадром; јƒ–;S m inan ins sg;;YES;м;о;р;д;а;к;S; јƒ–;S m inan ins sg
9922;4;@;@;PUNC;;YES;;;;;;;PUNC;@;PUNC
9923;5;Ќет;Ќ≈“;PART;;YES;т;е;н;;;;PART;Ќ≈“;PART
9924;6;,;,;PUNC;;YES;;;;;;;PUNC;,;PUNC
9925;7;хорошо;’ќ–ќЎќ;ADV -;;YES;о;ш;о;р;о;х;ADV;’ќ–ќЎќ;ADV -
9926;8;.;.;SENT;;YES;;;;;;;SENT;.;SENT
9927;;;;;;YES;;;;;;;;;
9928;1;ƒавай;ƒј¬ј“№;V ipf - sg imper 2p;;YES;й;а;в;а;д;;V;ƒј¬ј“№;V ipf - sg imper - 2p
9929;2;.;.;SENT;;YES;;;;;;;SENT;.;SENT
9930;;;;;;YES;;;;;;;;;
9931;1;Ќ;Ќ;INIT abbr;;YES;н;;;;;;INIT;Ќ;S - - nonflex nonflex
9932;2;.;.;SENT;;YES;;;;;;;SENT;.;SENT
9933;;;;;;YES;;;;;;;;;
9934;1;ћ.;ћ.;INIT abbr;;YES;;м;;;;;INIT;ћ.;S - - nonflex nonflex
9935;2;@;@;PUNC;;YES;;;;;;;PUNC;@;PUNC
9936;3;<;<;PUNC;;YES;;;;;;;PUNC;<;PUNC
9937;4;distinct;DISTINCT;NONLEX;;YES;;;;;;;NONLEX;DISTINCT;NONLEX
9938;5;form;FORM;NONLEX;;YES;;;;;;;NONLEX;FORM;NONLEX
9939;6;=;=;PUNC;;YES;;;;;;;PUNC;=;PUNC
9940;7;"	";_;;;YES;;;;;;;;_;8
9941;8;„Є;„≈;S-PRO n sg acc;distort;YES;Є;ч;;;;;S-PRO;„≈;S n - nonflex nonflex
9942;9;"	";_;;;YES;;;;;;;;_;8
9943;10;>;>;PUNC;;YES;;;;;;;PUNC;>;PUNC
9944;11;„то;„“ќ;S-PRO inan n sg acc;;YES;о;т;ч;;;;S-PRO;„“ќ;S n - acc sg
9945;12;<;<;PUNC;;YES;;;;;;;PUNC;<;PUNC
9946;13;/;/;PUNC;;YES;;;;;;;PUNC;/;PUNC
9947;14;distinct;DISTINCT;NONLEX;;YES;;;;;;;NONLEX;DISTINCT;NONLEX
9948;15;>;>;PUNC;;YES;;;;;;;PUNC;>;PUNC
9949;16;давай;ƒј¬ј“№;V ipf - sg imper 2p;;YES;й;а;в;а;д;;V;ƒј¬ј“№;V ipf - sg imper - 2p
9950;17;?;?;SENT;;YES;;;;;;;SENT;?;SENT
9951;;;;;;YES;;;;;;;;;
9952;1;Ќу;Ќ”;INTJ;;YES;у;н;;;;;INTJ;Ќ”;PART
9953;2;,;,;PUNC;;YES;;;;;;;PUNC;,;PUNC
9954;3;ты;“џ;S-PRO sg 2p nom;;YES;ы;т;;;;;S-PRO;“џ;SPRO sg 2p - nom
9955;4;это;Ё“ќ;S-PRO inan n sg;distort;YES;о;т;э;;;;;Ё“ќ;S n inan acc sg
9956;5;уже;”∆≈;ADV -;;YES;е;ж;у;;;;ADV;”∆≈;ADV -
9957;6;не;Ќ≈;PART;;YES;е;н;;;;;PART;Ќ≈;PART
9958;7;это;Ё“ќ;S-PRO inan n sg;;YES;о;т;э;;;;S;Ё“ќ;S n - nom sg
9959;8;самое;—јћџ…;A - nom sg plen n -;;YES;е;о;м;а;с;;A;—јћџ…;A - nom sg plen n -
9960;9;?;?;SENT;;YES;;;;;;;SENT;?;SENT
9961;;;;;;YES;;;;;;;;;
9962;1;√олос;√ќЋќ—;S m inan nom sg;;YES;с;о;л;о;г;;S;√ќЋќ—;S m inan nom sg
9963;2;за;«ј;PR;;YES;а;з;;;;;PR;«ј;PR
9964;3;кадром; јƒ–;S m inan ins sg;;YES;м;о;р;д;а;к;S; јƒ–;S m inan ins sg
9965;4;@;@;PUNC;;YES;;;;;;;PUNC;@;PUNC
9966;5;Ќу;Ќ”;INTJ;;YES;у;н;;;;;INTJ;Ќ”;PART
9967;6;,;,;PUNC;;YES;;;;;;;PUNC;,;PUNC
9968;7;конечно; ќЌ≈„Ќќ;PARENTH;;YES;о;н;ч;е;н;о;PARENTH; ќЌ≈„Ќќ;ADV -
9969;8;.;.;SENT;;YES;;;;;;;SENT;.;SENT
9970;;;;;;YES;;;;;;;;;
9971;1;Ќ;Ќ;INIT abbr;;YES;н;;;;;;INIT;Ќ;S - - nonflex nonflex
9972;2;.;.;SENT;;YES;;;;;;;SENT;.;SENT
9973;;;;;;YES;;;;;;;;;
9974;1;ћ.;ћ.;INIT abbr;;YES;;м;;;;;INIT;ћ.;S - - nonflex nonflex
9975;2;@;@;PUNC;;YES;;;;;;;PUNC;@;PUNC
9976;3;“ы;“џ;S-PRO sg 2p - nom;;YES;ы;т;;;;;S-PRO;“џ;SPRO sg 2p - nom
9977;4;это;Ё“ќ;S-PRO inan n sg;;YES;о;т;э;;;;INTJ;Ё“ќ;S n - acc sg
9978;5;<;<;PUNC;;YES;;;;;;;PUNC;<;PUNC
9979;6;distinct;DISTINCT;NONLEX;;YES;;;;;;;NONLEX;DISTINCT;NONLEX
9980;7;form;FORM;NONLEX;;YES;;;;;;;NONLEX;FORM;NONLEX
9981;8;=;=;PUNC;;YES;;;;;;;PUNC;=;PUNC
9982;9;"	";_;;;YES;;;;;;;;_;10
9983;10;чЄ;„≈;S-PRO inan n sg;distort;YES;Є;ч;;;;;S-PRO;„≈;S n inan nonflex nonflex
9984;11;"	";_;;;YES;;;;;;;;_;12
9985;12;>;>;PUNC;;YES;;;;;;;PUNC;>;PUNC
9986;13;что;„“ќ;S-PRO inan n sg;;YES;о;т;ч;;;;S-PRO;„“ќ;ADV -
9987;14;<;<;PUNC;;YES;;;;;;;PUNC;<;PUNC
9988;15;/;/;PUNC;;YES;;;;;;;PUNC;/;PUNC
9989;16;distinct;DISTINCT;NONLEX;;YES;;;;;;;NONLEX;DISTINCT;NONLEX
9990;17;>;>;PUNC;;YES;;;;;;;PUNC;>;PUNC
9991;18;,;,;PUNC;;YES;;;;;;;PUNC;,;PUNC
9992;19;не;Ќ≈;PART;;YES;е;н;;;;;PART;Ќ≈;PART
9993;20;записываешь;«јѕ»—џ¬ј“№;V ipf praes sg indic - 2p;;YES;ь;ш;е;а;в;ы;V;«јѕ»—џ¬ј“№;V ipf praes sg indic - 2p
9994;21;уже;”∆≈;ADV -;;YES;е;ж;у;;;;ADV;”∆≈;ADV -
9995;22;?;?;SENT;;YES;;;;;;;SENT;?;SENT
9996;;;;;;YES;;;;;;;;;
9997;1;√олос;√ќЋќ—;S m inan nom sg;;YES;с;о;л;о;г;;S;√ќЋќ—;S m inan nom sg
9998;2;за;«ј;PR;;YES;а;з;;;;;PR;«ј;PR
9999;3;кадром; јƒ–;S m inan ins sg;;YES;м;о;р;д;а;к;S; јƒ–;S m inan ins sg
10000;4;@;@;PUNC;;YES;;;;;;;PUNC;@;PUNC
10001;5;Ќет;Ќ≈“;PART;;YES;т;е;н;;;;PART;Ќ≈“;PART
10002;6;,;,;PUNC;;YES;;;;;;;PUNC;,;PUNC
10003;7;записываю;«јѕ»—џ¬ј“№;V ipf praes sg indic - 1p;;YES;ю;а;в;ы;с;и;V;«јѕ»—џ¬ј“№;V ipf praes sg indic - 1p
10004;8;.;.;SENT;;YES;;;;;;;SENT;.;SENT
10005;;;;;;YES;;;;;;;;;
10006;1;Ќ;Ќ;INIT abbr;;YES;н;;;;;;INIT;Ќ;S - - nonflex nonflex
10007;2;.;.;SENT;;YES;;;;;;;SENT;.;SENT
10008;;;;;;YES;;;;;;;;;
10009;1;ћ.;ћ.;INIT abbr;;YES;;м;;;;;INIT;ћ.;S - - nonflex nonflex
10010;2;@;@;PUNC;;YES;;;;;;;PUNC;@;PUNC
10011;3;Ќу;Ќ”;INTJ;;YES;у;н;;;;;INTJ;Ќ”;PART
10012;4;,;,;PUNC;;YES;;;;;;;PUNC;,;PUNC
10013;5;подожди;ѕќƒќ∆ƒј“№;V pf - sg imper - 2p;;YES;и;д;ж;о;д;о;V;ѕќƒќ∆ƒј“№;V pf - sg imper - 2p
10014;6;.;.;SENT;;YES;;;;;;;SENT;.;SENT
10015;;;;;;YES;;;;;;;;;
10016;1;ѕосмотри;ѕќ—ћќ“–≈“№;V pf - sg imper - 2p;;YES;и;р;т;о;м;с;V;ѕќ—ћќ“–≈“№;V pf - sg imper - 2p
10017;2;,;,;PUNC;;YES;;;;;;;PUNC;,;PUNC
10018;3;нормально;Ќќ–ћјЋ№Ќќ;ADV -;;YES;о;н;ь;л;а;м;ADV;Ќќ–ћјЋ№Ќќ;ADV -
10019;4;получилось;ѕќЋ”„»“№—я;V pf praet sg indic n -;;YES;ь;с;о;л;и;ч;V;ѕќЋ”„»“№—я;V pf praet sg indic n -
10020;5;?;?;SENT;;YES;;;;;;;SENT;?;SENT
10021;;;;;;YES;;;;;;;;;
10022;1;√олос;√ќЋќ—;S m inan nom sg;;YES;с;о;л;о;г;;S;√ќЋќ—;S m inan nom sg
10023;2;за;«ј;PR;;YES;а;з;;;;;PR;«ј;PR
10024;3;кадром; јƒ–;S m inan ins sg;;YES;м;о;р;д;а;к;S; јƒ–;S m inan ins sg
10025;4;@;@;PUNC;;YES;;;;;;;PUNC;@;PUNC
10026;5;ƒа;ƒј;PART;;YES;а;д;;;;;PART;ƒј;PART
10027;6;.;.;SENT;;YES;;;;;;;SENT;.;SENT
10028;;;;;;YES;;;;;;;;;
10029;1;Ќ;Ќ;INIT abbr;;YES;н;;;;;;INIT;Ќ;S - - nonflex nonflex
10030;2;.;.;SENT;;YES;;;;;;;SENT;.;SENT
10031;;;;;;YES;;;;;;;;;
10032;1;ћ.;ћ.;INIT abbr;;YES;;м;;;;;INIT;ћ.;S - - nonflex nonflex
10033;2;@;@;PUNC;;YES;;;;;;;PUNC;@;PUNC
10034;3;Ќу-ка;Ќ”- ј;INTJ;;YES;а;к;;у;н;;INTJ;Ќ”- ј;INTJ
10035;4;,;,;PUNC;;YES;;;;;;;PUNC;,;PUNC
10036;5;<;<;PUNC;;YES;;;;;;;PUNC;<;PUNC
10037;6;distinct;DISTINCT;NONLEX;;YES;;;;;;;NONLEX;DISTINCT;NONLEX
10038;7;form;FORM;NONLEX;;YES;;;;;;;NONLEX;FORM;NONLEX
10039;8;=;=;PUNC;;YES;;;;;;;PUNC;=;PUNC
10040;9;"	";_;;;YES;;;;;;;;_;10
10041;10;ничЄ;Ќ»„®;S-PRO inan n sg;distort;YES;Є;ч;и;н;;;S-PRO;Ќ»„;S m inan loc sg
10042;11;"	";_;;;YES;;;;;;;;_;10
10043;12;>;>;PUNC;;YES;;;;;;;PUNC;>;PUNC
10044;13;ничего;Ќ»„≈√ќ;S-PRO inan n sg;;YES;о;г;е;ч;и;н;S-PRO;Ќ»„≈√ќ;ADV -
10045;14;<;<;PUNC;;YES;;;;;;;PUNC;<;PUNC
10046;15;/;/;PUNC;;YES;;;;;;;PUNC;/;PUNC
10047;16;distinct;DISTINCT;NONLEX;;YES;;;;;;;NONLEX;DISTINCT;NONLEX
10048;17;>;>;PUNC;;YES;;;;;;;PUNC;>;PUNC
10049;18;€;я;S-PRO sg 1p - nom;;YES;€;;;;;;S-PRO;я;SPRO sg 1p - nom
10050;19;там;“јћ;ADV -;;YES;м;а;т;;;;ADV;“јћ;ADV -
10051;20;,;,;PUNC;;YES;;;;;;;PUNC;,;PUNC
10052;21;весЄленька€;¬≈—≈Ћ≈Ќ№ »…;A - nom sg plen f -;;YES;€;а;к;ь;н;е;A;¬≈—≈Ћ≈Ќ№ »…;A - nom sg plen f -
10053;22;?;?;SENT;;YES;;;;;;;SENT;?;SENT
10054;;;;;;YES;;;;;;;;;
10055;1;√олос;√ќЋќ—;S m inan nom sg;;YES;с;о;л;о;г;;S;√ќЋќ—;S m inan nom sg
10056;2;за;«ј;PR;;YES;а;з;;;;;PR;«ј;PR
10057;3;кадром; јƒ–;S m inan ins sg;;YES;м;о;р;д;а;к;S; јƒ–;S m inan ins sg
10058;4;@;@;PUNC;;YES;;;;;;;PUNC;@;PUNC
10059;5;ƒа;ƒј;PART;;YES;а;д;;;;;PART;ƒј;CONJ
10060;6;,;,;PUNC;;YES;;;;;;;PUNC;,;PUNC
10061;7;хорошенька€;’ќ–ќЎ≈Ќ№ »…;A - nom sg plen f -;;YES;€;а;к;ь;н;е;A;’ќ–ќЎ≈Ќ№ »…;A - nom sg plen f -
10062;8;.;.;SENT;;YES;;;;;;;SENT;.;SENT
10063;;;;;;YES;;;;;;;;;
10064;1;Ќ;Ќ;INIT abbr;;YES;н;;;;;;INIT;Ќ;S - - nonflex nonflex
10065;2;.;.;SENT;;YES;;;;;;;SENT;.;SENT
10066;;;;;;YES;;;;;;;;;
10067;1;ћ.;ћ.;INIT abbr;;YES;;м;;;;;INIT;ћ.;S - - nonflex nonflex
10068;2;@;@;PUNC;;YES;;;;;;;PUNC;@;PUNC
10069;3;’орошенька€;’ќ–ќЎ≈Ќ№ »…;A - nom sg plen f -;;YES;€;а;к;ь;н;е;A;’ќ–ќЎ≈Ќ№ »…;A - nom sg plen f -
10070;4;?;?;SENT;;YES;;;;;;;SENT;?;SENT
10071;;;;;;YES;;;;;;;;;
10072;1;√олос;√ќЋќ—;S m inan nom sg;;YES;с;о;л;о;г;;S;√ќЋќ—;S m inan nom sg
10073;2;за;«ј;PR;;YES;а;з;;;;;PR;«ј;PR
10074;3;кадром; јƒ–;S m inan ins sg;;YES;м;о;р;д;а;к;S; јƒ–;S m inan ins sg
10075;4;@;@;PUNC;;YES;;;;;;;PUNC;@;PUNC
10076;5;ƒа;ƒј;PART;;YES;а;д;;;;;PART;ƒј;PART
10077;6;.;.;SENT;;YES;;;;;;;SENT;.;SENT
10078;;;;;;YES;;;;;;;;;
10079;1;Ќ;Ќ;INIT abbr;;YES;н;;;;;;INIT;Ќ;S - - nonflex nonflex
10080;2;.;.;SENT;;YES;;;;;;;SENT;.;SENT
10081;;;;;;YES;;;;;;;;;
10082;1;ћ.;ћ.;INIT abbr;;YES;;м;;;;;INIT;ћ.;S - - nonflex nonflex
10083;2;@;@;PUNC;;YES;;;;;;;PUNC;@;PUNC
10084;3;Ќу;Ќ”;INTJ;;YES;у;н;;;;;INTJ;Ќ”;PART
10085;4;,;,;PUNC;;YES;;;;;;;PUNC;,;PUNC
10086;5;всЄ;¬—≈;S-PRO inan n sg nom;;YES;Є;с;в;;;;S-PRO;¬—≈;S n - nom sg
10087;6;равно;–ј¬Ќџ…;A - n sg brev n -;;YES;о;н;в;а;р;;A;–ј¬Ќџ…;A - - sg brev n -
10088;7;.;.;SENT;;YES;;;;;;;SENT;.;SENT
10089;;;;;;YES;;;;;;;;;
10090;1;ѕричепуренна€;ѕ–»„≈ѕ”–≈ЌЌџ…;A - nom sg plen f -;;YES;€;а;н;н;е;р;A;ѕ–»„≈ѕ”–≈ЌЌџ…;A - nom sg plen f -
10091;2;?;?;SENT;;YES;;;;;;;SENT;?;SENT
10092;;;;;;YES;;;;;;;;;
10093;1;√олос;√ќЋќ—;S m inan nom sg;;YES;с;о;л;о;г;;S;√ќЋќ—;S m inan nom sg
10094;2;за;«ј;PR;;YES;а;з;;;;;PR;«ј;PR
10095;3;кадром; јƒ–;S m inan ins sg;;YES;м;о;р;д;а;к;S; јƒ–;S m inan ins sg
10096;4;@;@;PUNC;;YES;;;;;;;PUNC;@;PUNC
10097;5;ƒа;ƒј;PART;;YES;а;д;;;;;PART;ƒј;PART
10098;6;.;.;SENT;;YES;;;;;;;SENT;.;SENT
10099;;;;;;YES;;;;;;;;;
10100;1;Ќ;Ќ;INIT abbr;;YES;н;;;;;;INIT;Ќ;S - - nonflex nonflex
10101;2;.;.;SENT;;YES;;;;;;;SENT;.;SENT
10102;;;;;;YES;;;;;;;;;
10103;1;ћ.;ћ.;INIT abbr;;YES;;м;;;;;INIT;ћ.;S - - nonflex nonflex
10104;2;@;@;PUNC;;YES;;;;;;;PUNC;@;PUNC
10105;3;Ќу;Ќ”;INTJ;;YES;у;н;;;;;INTJ;Ќ”;PART
10106;4;,;,;PUNC;;YES;;;;;;;PUNC;,;PUNC
10107;5;хорошо;’ќ–ќЎќ;ADV -;;YES;о;ш;о;р;о;х;ADV;’ќ–ќЎќ;ADV -
10108;6;.;.;SENT;;YES;;;;;;;SENT;.;SENT
10109;;;;;;YES;;;;;;;;;
10110;1;“ак;“ј ;ADV -;;YES;к;а;т;;;;ADV;“ј ;ADV -
10111;2;,;,;PUNC;;YES;;;;;;;PUNC;,;PUNC
10112;3;ну;Ќ”;INTJ;;YES;у;н;;;;;INTJ;Ќ”;PART
10113;4;.;.;SENT;;YES;;;;;;;SENT;.;SENT
10114;;;;;;YES;;;;;;;;;
10115;1;√олос;√ќЋќ—;S m inan nom sg;;YES;с;о;л;о;г;;S;√ќЋќ—;S m inan nom sg
10116;2;за;«ј;PR;;YES;а;з;;;;;PR;«ј;PR
10117;3;кадром; јƒ–;S m inan ins sg;;YES;м;о;р;д;а;к;S; јƒ–;S m inan ins sg
10118;4;@;@;PUNC;;YES;;;;;;;PUNC;@;PUNC
10119;5;ƒавай;ƒј¬ј“№;V ipf - sg imper - 2p;;YES;й;а;в;а;д;;V;ƒј¬ј“№;V ipf - sg imper - 2p
10120;6;,;,;PUNC;;YES;;;;;;;PUNC;,;PUNC
10121;7;нажимай;Ќј∆»ћј“№;V ipf - sg imper - 2p;;YES;й;а;м;и;ж;а;V;Ќј∆»ћј“№;V ipf - sg imper - 2p
10122;8;на;Ќј;PR;;YES;а;н;;;;;PR;Ќј;PR
10123;9;мышку;ћџЎ ј;S f inan acc sg;;YES;у;к;ш;ы;м;;S;ћџЎ ј;S f inan acc sg
10124;10;и;»;CONJ;;YES;и;;;;;;CONJ;»;CONJ
10125;11;комментируй; ќћћ≈Ќ“»–ќ¬ј“№;V ipf - sg imper - 2p;;YES;й;у;р;и;т;н;V; ќћћ≈Ќ“»–ќ¬ј“№;V ipf - sg imper - 2p
10126;12;видео;¬»ƒ≈ќ;S n inan nonflex nonflex;;YES;о;е;д;и;в;;S;¬»ƒ≈ќ;S n inan nonflex nonflex
10127;13;,;,;PUNC;;YES;;;;;;;PUNC;,;PUNC
10128;14;пожалуйста;ѕќ∆јЋ”…—“ј;PART;;YES;а;т;с;й;у;л;PART;ѕќ∆јЋ”…—“ј;PART
10129;15;.;.;SENT;;YES;;;;;;;SENT;.;SENT
10130;;;;;;YES;;;;;;;;;
10131;1;Ќ;Ќ;INIT abbr;;YES;н;;;;;;INIT;Ќ;S - - nonflex nonflex
10132;2;.;.;SENT;;YES;;;;;;;SENT;.;SENT
10133;;;;;;YES;;;;;;;;;
10134;1;ћ.;ћ.;INIT abbr;;YES;;м;;;;;INIT;ћ.;S - - nonflex nonflex
10135;2;@;@;PUNC;;YES;;;;;;;PUNC;@;PUNC
10136;3;<;<;PUNC;;YES;;;;;;;PUNC;<;PUNC
10137;4;noindex;NOINDEX;NONLEX;;YES;;;;;;;NONLEX;NOINDEX;NONLEX
10138;5;>;>;PUNC;;YES;;;;;;;PUNC;>;PUNC
10139;6;[;[;PUNC;;YES;;;;;;;PUNC;[;PUNC
10140;7;нрзб;Ќ–«Ѕ;NONLEX;distort;YES;б;з;р;н;;;NONLEX;Ќ–«Ѕ;NONLEX
10141;8;];];PUNC;;YES;;;;;;;PUNC;];PUNC
10142;9;<;<;PUNC;;YES;;;;;;;PUNC;<;PUNC
10143;10;/;/;PUNC;;YES;;;;;;;PUNC;/;PUNC
10144;11;noindex;NOINDEX;NONLEX;;YES;;;;;;;NONLEX;NOINDEX;NONLEX
10145;12;>;>;PUNC;;YES;;;;;;;PUNC;>;PUNC
10146;13;“ы;“џ;S-PRO sg 2p - nom;;YES;ы;т;;;;;S-PRO;“џ;SPRO sg 2p - nom
10147;14;потом;ѕќ“ќћ;ADV -;;YES;м;о;т;о;п;;ADV;ѕќ“ќћ;ADV -
10148;15;можешь;ћќ„№;V ipf praes sg indic - 2p;;YES;ь;ш;е;ж;о;м;V;ћќ„№;V ipf praes sg indic - 2p
10149;16;это;Ё“ќ;S-PRO inan n sg acc;;YES;о;т;э;;;;S-PRO;Ё“ќ;S n - acc sg
